source,movie_id,title,media_type,is_adult,release_date,languages,genres,rating,vote_count,metascore,popularity,runtime,imdb_movie_id,normalized_score
TMDB,98,Gladiator,movie,False,2000-05-04,en,"['Action', 'Drama', 'Adventure']",8.22,19693,,22.2586,,tt0172495,1.62
TMDB,68721,Iron Man 3,movie,False,2013-04-18,en,"['Action', 'Adventure', 'Sci-Fi']",6.93,22562,,14.0116,,tt1300854,1.14
TMDB,1227128,Raid 2,movie,False,2025-05-01,hi,"['Crime', 'Drama', 'Thriller']",6.286,7,,7.8755,,tt28089700,0.0
TMDB,603692,John Wick: Chapter 4,movie,False,2023-03-22,en,"['Action', 'Thriller', 'Crime']",7.724,7067,,24.3117,,tt10366206,0.64
TMDB,1175106,Apple Music Live: Dominic Fike,movie,False,2023-09-06,en,['Music'],8.0,1,,1.5868,,None,0.0
TMDB,329,Jurassic Park,movie,False,1993-06-11,en,"['Adventure', 'Sci-Fi']",8.0,16752,,10.9223,,tt0107290,0.65
TMDB,330459,Rogue One: A Star Wars Story,movie,False,2016-12-14,en,"['Action', 'Adventure', 'Sci-Fi']",7.496,15610,,20.194,,tt3748528,1.16
TMDB,1339772,The Devil's Bride,movie,False,2025-01-16,id,"['Horror', 'Thriller']",7.7,3,,8.8293,,tt33051946,0.0
TMDB,1297860,Inheritance,movie,False,2025-01-24,en,['Thriller'],5.9,22,,7.3712,,tt31050620,0.0
TMDB,1895,Star Wars: Episode III - Revenge of the Sith,movie,False,2005-05-17,en,"['Adventure', 'Action', 'Sci-Fi']",7.443,14111,,15.6326,,tt0121766,0.8
TMDB,1306542,Pale Horse,movie,False,2024-07-30,en,['Horror'],3.5,2,,1.3554,,tt4382736,0.0
TMDB,799766,Better Man,movie,False,2024-12-06,en,"['Music', 'Drama']",7.8,499,,10.3839,,tt14260836,0.02
TMDB,361743,Top Gun: Maverick,movie,False,2022-05-21,en,"['Action', 'Drama']",8.176,9850,,29.6236,,tt1745960,1.09
TMDB,1726,Iron Man,movie,False,2008-04-30,en,"['Action', 'Sci-Fi', 'Adventure']",7.652,26970,,19.8904,,tt0371746,1.97
TMDB,1226406,Love Hurts,movie,False,2025-02-06,en,"['Action', 'Comedy', 'Romance']",5.899,188,,20.9997,,tt30788842,0.01
TMDB,694,The Shining,movie,False,1980-05-23,en,"['Horror', 'Thriller']",8.212,17934,,14.3179,,tt0081505,0.93
TMDB,634649,Spider-Man: No Way Home,movie,False,2021-12-15,en,"['Action', 'Adventure', 'Sci-Fi']",7.946,20765,,26.3859,,tt10872600,2.04
